sampleID,Carbon,Concentration,Rep,Treatment,Day
a40cL4,Acetate,40 uM-C,C,LOM,4
a40dL4,Acetate,40 uM-C,D,LOM,4
a40eL4,Acetate,40 uM-C,E,LOM,4
a4aL4,Acetate,4 uM-C,A,LOM,4
a4bL4,Acetate,4 uM-C,B,LOM,4
a4cL4,Acetate,4 uM-C,C,LOM,4
a4dL4,Acetate,4 uM-C,D,LOM,4
a4eL4,Acetate,4 uM-C,E,LOM,4
a1aL4,Acetate,1 uM-C,A,LOM,4
a1bL4,Acetate,1 uM-C,B,LOM,4
a1cL4,Acetate,1 uM-C,C,LOM,4
a1dL4,Acetate,1 uM-C,D,LOM,4
a1eL4,Acetate,1 uM-C,E,LOM,4
a400aP4,Acetate,400 uM-C,A,PRI,4
a400bP4,Acetate,400 uM-C,B,PRI,4
a400cP4,Acetate,400 uM-C,C,PRI,4
a400dP4,Acetate,400 uM-C,D,PRI,4
a400eP4,Acetate,400 uM-C,E,PRI,4
a40bP4,Acetate,40 uM-C,B,PRI,4
a40cP4,Acetate,40 uM-C,C,PRI,4
a40dP4,Acetate,40 uM-C,D,PRI,4
a40eP4,Acetate,40 uM-C,E,PRI,4
a4aP4,Acetate,4 uM-C,A,PRI,4
a4bP4,Acetate,4 uM-C,B,PRI,4
a4cP4,Acetate,4 uM-C,C,PRI,4
a4dP4,Acetate,4 uM-C,D,PRI,4
a4eP4,Acetate,4 uM-C,E,PRI,4
a1aP4,Acetate,1 uM-C,A,PRI,4
a1bP4,Acetate,1 uM-C,B,PRI,4
a1cP4,Acetate,1 uM-C,C,PRI,4
a1dP4,Acetate,1 uM-C,D,PRI,4
a1eP4,Acetate,1 uM-C,E,PRI,4
a400aL7,Acetate,400 uM-C,A,LOM,7
a400bL7,Acetate,400 uM-C,B,LOM,7
a400cL7,Acetate,400 uM-C,C,LOM,7
a400eL7,Acetate,400 uM-C,E,LOM,7
a40aL7,Acetate,40 uM-C,A,LOM,7
a40bL7,Acetate,40 uM-C,B,LOM,7
a40cL7,Acetate,40 uM-C,C,LOM,7
a40dL7,Acetate,40 uM-C,D,LOM,7
a40eL7,Acetate,40 uM-C,E,LOM,7
a4aL7,Acetate,4 uM-C,A,LOM,7
a4bL7,Acetate,4 uM-C,B,LOM,7
a4cL7,Acetate,4 uM-C,C,LOM,7
a4dL7,Acetate,4 uM-C,D,LOM,7
a4eL7,Acetate,4 uM-C,E,LOM,7
a1aL7,Acetate,1 uM-C,A,LOM,7
a1bL7,Acetate,1 uM-C,B,LOM,7
a1cL7,Acetate,1 uM-C,C,LOM,7
a1dL7,Acetate,1 uM-C,D,LOM,7
