Strain,Treatment,Rep,Count,Experiment
SE45,Ace400Lom,C,7100000,ViableCount
SE45,Ace400Lom,D,13700000,ViableCount
SE45,Ace400Lom,E,9700000,ViableCount
SE45,Casa1Lom,A,60000,ViableCount
SE45,Casa1Lom,B,110000,ViableCount
SE45,Casa1Lom,C,130000,ViableCount
SE45,Casa1Lom,D,90000,ViableCount
SE45,Casa1Lom,E,110000,ViableCount
SE45,Casa1Pri,A,2900000,ViableCount
SE45,Casa1Pri,B,400000,ViableCount
SE45,Casa1Pri,C,1200000,ViableCount
SE45,Casa1Pri,D,900000,ViableCount
SE45,Casa1Pri,E,500000,ViableCount
Community,ABM,A,182000,ViableCount
Community,ABM,B,182000,ViableCount
Community,ABM,C,217000,ViableCount
Community,ABM,D,353000,ViableCount
Community,ABM,E,211000,ViableCount
Community,ABM,F,330000,ViableCount
Community,ABM,G,250000,ViableCount
Community,ABM,H,500000,ViableCount
Community,ABM,I,570000,ViableCount
Community,ABM,J,330000,ViableCount
Community,NOM,A,750000,ViableCount
Community,NOM,B,810000,ViableCount
Community,NOM,C,1050000,ViableCount
Community,NOM,D,720000,ViableCount
Community,NOM,E,390000,ViableCount
Community,NOM,F,1580000,ViableCount
Community,NOM,G,1760000,ViableCount
Community,NOM,H,1570000,ViableCount
Community,NOM,I,1870000,ViableCount
Community,NOM,J,1740000,ViableCount
Community,Ace400Lom,A,6500000,ViableCount
Community,Ace400Lom,B,6400000,ViableCount
Community,Ace400Lom,C,7900000,ViableCount
Community,Ace400Lom,D,5400000,ViableCount
Community,Ace400Pri,A,6200000,ViableCount
Community,Ace400Pri,B,9000000,ViableCount
Community,Ace400Pri,C,15600000,ViableCount
Community,Ace400Pri,D,9200000,ViableCount
Community,Coum400Lom,A,5500000,ViableCount
Community,Coum400Lom,B,5700000,ViableCount
Community,Coum400Lom,C,4700000,ViableCount
Community,Coum400Lom,D,6700000,ViableCount
Community,Coum400Lom,E,7100000,ViableCount
Community,Coum400Pri,A,8000000,ViableCount
Community,Coum400Pri,B,7300000,ViableCount
Community,Coum400Pri,C,6100000,ViableCount
Community,Coum400Pri,D,10100000,ViableCount
Community,Coum400Pri,E,12400000,ViableCount
Community,Casa4Lom,A,420000,ViableCount
Community,Casa4Lom,B,160000,ViableCount
Community,Casa4Lom,C,350000,ViableCount
Community,Casa4Lom,D,830000,ViableCount
Community,Casa4Lom,E,780000,ViableCount
Community,Casa4Pri,A,2050000,ViableCount
Community,Casa4Pri,B,1960000,ViableCount
Community,Casa4Pri,C,1890000,ViableCount
Community,Casa4Pri,D,2190000,ViableCount
Community,Casa4Pri,E,1980000,ViableCount
Community,Casa40Lom,A,780000,ViableCount
Community,Casa40Lom,B,900000,ViableCount
Community,Casa40Lom,C,760000,ViableCount
Community,Casa40Lom,D,1420000,ViableCount
Community,Casa40Pri,A,1300000,ViableCount
Community,Casa40Pri,B,2190000,ViableCount
Community,Casa40Pri,C,3020000,ViableCount
Community,Casa40Pri,D,2170000,ViableCount
Community,Casa40Pri,E,2770000,ViableCount
Community,Casa400Lom,A,6200000,ViableCount
Community,Casa400Lom,B,10800000,ViableCount
Community,Casa400Lom,C,7600000,ViableCount
Community,Casa400Lom,D,4900000,ViableCount
Community,Casa400Pri,A,13300000,ViableCount
Community,Casa400Pri,B,11100000,ViableCount
Community,Casa400Pri,C,9900000,ViableCount
Community,Casa400Pri,D,11000000,ViableCount
Community,Casa400Pri,E,7300000,ViableCount
Community,Casa1Lom,A,230000,ViableCount
Community,Casa1Lom,B,250000,ViableCount
Community,Casa1Lom,C,380000,ViableCount
Community,Casa1Lom,D,380000,ViableCount
Community,Casa1Lom,E,450000,ViableCount
Community,Casa1Pri,A,870000,ViableCount
Community,Casa1Pri,B,990000,ViableCount
Community,Casa1Pri,C,1260000,ViableCount
Community,Casa1Pri,D,1300000,ViableCount
Community,Casa1Pri,E,1120000,ViableCount
SE45,ABM,A,5900,Respirometer
SE45,ABM,B,13200,Respirometer
SE45,ABM,C,10800,Respirometer
SE45,ABM,D,218000,Respirometer
SE45,ABM,E,277000,Respirometer
SE45,ABM,F,280000,Respirometer
SE45,NOM,A,275000,Respirometer
SE45,NOM,B,136000,Respirometer
SE45,NOM,C,97000,Respirometer
SE45,NOM,D,295000,Respirometer
SE45,NOM,E,498000,Respirometer
SE45,NOM,F,370000,Respirometer
SE45,Casa4Lom,A,24000,Respirometer
SE45,Casa4Lom,B,37000,Respirometer
SE45,Casa4Lom,C,45000,Respirometer
SE45,Casa4Pri,A,248000,Respirometer
SE45,Casa4Pri,B,76000,Respirometer
SE45,Casa4Pri,C,211000,Respirometer
SE45,Casa40Lom,A,212000,Respirometer
SE45,Casa40Lom,B,97000,Respirometer
SE45,Casa40Lom,C,139000,Respirometer
SE45,Casa40Pri,A,534000,Respirometer
SE45,Casa40Pri,B,548000,Respirometer
SE45,Casa40Pri,C,332000,Respirometer
SE45,Casa400Lom,A,490000,Respirometer
SE45,Casa400Lom,B,570000,Respirometer
SE45,Casa400Lom,C,260000,Respirometer
SE45,Casa400Pri,A,920000,Respirometer
SE45,Casa400Pri,B,2490000,Respirometer
SE45,Casa400Pri,C,1340000,Respirometer
SE45,Casa1Lom,A,384000,Respirometer
SE45,Casa1Lom,B,457000,Respirometer
SE45,Casa1Lom,C,351000,Respirometer
SE45,Casa1Pri,A,418000,Respirometer
SE45,Casa1Pri,B,417000,Respirometer
SE45,Casa1Pri,C,455000,Respirometer
SE45,Ace400Lom,A,11110000,Respirometer
SE45,Ace400Lom,B,10450000,Respirometer
SE45,Ace400Lom,C,10400000,Respirometer
SE45,Ace400Pri,A,9200000,Respirometer
SE45,Ace400Pri,B,7110000,Respirometer
SE45,Ace400Pri,C,8630000,Respirometer
SE45,Coum400Lom,A,2010000,Respirometer
SE45,Coum400Lom,B,2730000,Respirometer
SE45,Coum400Lom,C,2900000,Respirometer
SE45,Coum400Pri,A,4420000,Respirometer
SE45,Coum400Pri,B,3230000,Respirometer
SE45,Coum400Pri,C,4240000,Respirometer
E37,ABM,A,32000,Respirometer
E37,ABM,B,20000,Respirometer
E37,ABM,C,21000,Respirometer
E37,NOM,A,150000,Respirometer
E37,NOM,B,250000,Respirometer
E37,NOM,C,310000,Respirometer
E37,Casa40Lom,A,60000,Respirometer
E37,Casa40Lom,B,110000,Respirometer
E37,Casa40Lom,C,760000,Respirometer
E37,Casa40Pri,A,350000,Respirometer
E37,Casa40Pri,B,410000,Respirometer
E37,Casa40Pri,C,260000,Respirometer
E37,Casa4Lom,A,800000,Respirometer
E37,Casa4Lom,B,150000,Respirometer
E37,Casa4Lom,C,50000,Respirometer
E37,Casa4Pri,A,290000,Respirometer
E37,Casa4Pri,B,370000,Respirometer
E37,Casa4Pri,C,330000,Respirometer
E37,Casa1Lom,A,65000,Respirometer
E37,Casa1Lom,B,54000,Respirometer
E37,Casa1Lom,C,53000,Respirometer
E37,Casa1Pri,A,294000,Respirometer
E37,Casa1Pri,B,196000,Respirometer
E37,Casa1Pri,C,279000,Respirometer
Community,ABM,A,700000,Respirometer
Community,ABM,B,1130000,Respirometer
Community,ABM,C,660000,Respirometer
Community,NOM,A,1460000,Respirometer
Community,NOM,B,1440000,Respirometer
Community,NOM,C,1580000,Respirometer
Community,Casa40Lom,A,22500000,Respirometer
Community,Casa40Lom,B,18800000,Respirometer
Community,Casa40Lom,C,23300000,Respirometer
Community,Casa40Pri,A,3800000,Respirometer
Community,Casa40Pri,B,3000000,Respirometer
Community,Casa40Pri,C,3000000,Respirometer
Community,Casa4Lom,A,6600000,Respirometer
Community,Casa4Lom,B,7300000,Respirometer
Community,Casa4Lom,C,10200000,Respirometer
Community,Casa4Pri,A,19500000,Respirometer
Community,Casa4Pri,B,23100000,Respirometer
Community,Casa4Pri,C,25200000,Respirometer
Community,Casa1Lom,A,710000,Respirometer
Community,Casa1Lom,B,630000,Respirometer
Community,Casa1Lom,C,570000,Respirometer
Community,Casa1Pri,A,1390000,Respirometer
Community,Casa1Pri,B,1610000,Respirometer
Community,Casa1Pri,C,1520000,Respirometer
Community,ABM,A,420000,Respirometer
Community,ABM,B,440000,Respirometer
Community,ABM,C,630000,Respirometer
Community,NOM,A,1000000,Respirometer
Community,NOM,B,990000,Respirometer
Community,NOM,C,1140000,Respirometer
Community,Ace400Lom,A,10300000,Respirometer
Community,Ace400Lom,B,8800000,Respirometer
Community,Ace400Lom,C,10500000,Respirometer
Community,Ace400Pri,A,14900000,Respirometer
Community,Ace400Pri,B,19400000,Respirometer
Community,Ace400Pri,C,17900000,Respirometer
Community,Casa400Lom,A,15100000,Respirometer
Community,Casa400Lom,B,10300000,Respirometer
Community,Casa400Lom,C,12700000,Respirometer
Community,Casa400Pri,A,19400000,Respirometer
Community,Casa400Pri,B,22400000,Respirometer
Community,Coum400Lom,A,800000,Respirometer
Community,Coum400Lom,B,1300000,Respirometer
Community,Coum400Lom,C,1600000,Respirometer
Community,Coum400Pri,A,3900000,Respirometer
Community,Coum400Pri,B,4300000,Respirometer
Community,Coum400Pri,C,3700000,Respirometer
E37,ABM,D,29000,Respirometer
E37,ABM,E,21000,Respirometer
E37,ABM,F,14000,Respirometer
E37,NOM,D,150000,Respirometer
E37,NOM,E,190000,Respirometer
E37,NOM,F,250000,Respirometer
E37,Ace400Pri,A,980000,Respirometer
E37,Ace400Pri,B,830000,Respirometer
E37,Ace400Pri,C,880000,Respirometer
E37,Ace400Lom,A,150000,Respirometer
E37,Ace400Lom,B,290000,Respirometer
E37,Ace400Lom,C,240000,Respirometer
E37,Casa400Lom,A,310000,Respirometer
E37,Casa400Lom,B,330000,Respirometer
E37,Casa400Lom,C,240000,Respirometer
E37,Casa400Pri,A,740000,Respirometer
E37,Casa400Pri,B,790000,Respirometer
E37,Casa400Pri,C,730000,Respirometer
E37,Coum400Lom,A,580000,Respirometer
E37,Coum400Lom,B,490000,Respirometer
E37,Coum400Lom,C,600000,Respirometer
E37,Coum400Pri,A,760000,Respirometer
E37,Coum400Pri,B,680000,Respirometer
E37,Coum400Pri,C,800000,Respirometer
