Day,Concentration,Treatment,Rep,Count,Carbon
1,400 uM-C,ABM,C,820000,Casamino Acids
1,400 uM-C,ABM,D,880000,Casamino Acids
1,400 uM-C,ABM,E,940000,Casamino Acids
1,400 uM-C,LOM,A,4200000,Casamino Acids
1,400 uM-C,LOM,B,4400000,Casamino Acids
1,400 uM-C,LOM,C,5100000,Casamino Acids
1,400 uM-C,LOM,D,6600000,Casamino Acids
1,400 uM-C,LOM,E,5300000,Casamino Acids
1,400 uM-C,NOM,A,820000,Casamino Acids
1,400 uM-C,NOM,B,960000,Casamino Acids
1,400 uM-C,NOM,C,950000,Casamino Acids
1,400 uM-C,NOM,D,940000,Casamino Acids
1,400 uM-C,NOM,E,890000,Casamino Acids
1,400 uM-C,composite,A,5020000,Casamino Acids
1,400 uM-C,composite,B,5360000,Casamino Acids
1,400 uM-C,composite,C,6050000,Casamino Acids
1,400 uM-C,composite,D,7540000,Casamino Acids
1,400 uM-C,composite,E,6190000,Casamino Acids
1,400 uM-C,PRI,A,3400000,Casamino Acids
1,400 uM-C,PRI,B,3000000,Casamino Acids
1,400 uM-C,PRI,C,3000000,Casamino Acids
1,400 uM-C,PRI,D,4900000,Casamino Acids
1,400 uM-C,PRI,E,4100000,Casamino Acids
2,4 uM-C,ABM,A,709000,Casamino Acids
2,4 uM-C,ABM,B,440000,Casamino Acids
2,4 uM-C,ABM,C,461000,Casamino Acids
2,4 uM-C,ABM,D,407000,Casamino Acids
2,4 uM-C,ABM,E,630000,Casamino Acids
2,4 uM-C,LOM,A,616000,Casamino Acids
2,4 uM-C,LOM,B,559000,Casamino Acids
2,4 uM-C,LOM,C,424000,Casamino Acids
2,4 uM-C,LOM,D,364000,Casamino Acids
2,4 uM-C,LOM,E,643000,Casamino Acids
2,4 uM-C,NOM,B,543000,Casamino Acids
2,4 uM-C,NOM,C,474000,Casamino Acids
2,4 uM-C,NOM,D,379000,Casamino Acids
2,4 uM-C,NOM,E,433000,Casamino Acids
2,4 uM-C,composite,B,1102000,Casamino Acids
2,4 uM-C,composite,C,898000,Casamino Acids
2,4 uM-C,composite,D,743000,Casamino Acids
2,4 uM-C,composite,E,1076000,Casamino Acids
2,4 uM-C,PRI,A,560000,Casamino Acids
2,4 uM-C,PRI,B,290000,Casamino Acids
2,4 uM-C,PRI,C,830000,Casamino Acids
2,4 uM-C,PRI,D,540000,Casamino Acids
2,40 uM-C,ABM,A,709000,Casamino Acids
2,40 uM-C,ABM,B,440000,Casamino Acids
2,40 uM-C,ABM,C,461000,Casamino Acids
2,40 uM-C,ABM,D,407000,Casamino Acids
2,40 uM-C,ABM,E,630000,Casamino Acids
2,40 uM-C,LOM,A,732000,Casamino Acids
2,40 uM-C,LOM,B,683000,Casamino Acids
2,40 uM-C,LOM,C,801000,Casamino Acids
2,40 uM-C,LOM,D,757000,Casamino Acids
2,40 uM-C,LOM,E,658000,Casamino Acids
2,40 uM-C,NOM,B,543000,Casamino Acids
2,40 uM-C,NOM,C,474000,Casamino Acids
2,40 uM-C,NOM,D,379000,Casamino Acids
2,40 uM-C,NOM,E,433000,Casamino Acids
